Date,Round,Court,Surface,Series,Tournament,tourney_weight,Winner,loser,game_ratio_1,game_ratio_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,player_num,player,game_ratio,rank,points,odds,year,week,corr_date
10/27/2020,1st Round,Indoor,Hard,ATP500,Erste Bank Open,500,Djokovic N.,Krajinovic F.,1.444,0.692,1,30,11740,1628,1.08,8,Player_1,Djokovic N.,1.444,1,11740,1.08,2020,44,10/27/2020
10/28/2020,2nd Round,Indoor,Hard,ATP500,Erste Bank Open,500,Djokovic N.,Coric B.,0.692,1.444,24,1,1820,11740,6,1.12,Player_2,Djokovic N.,1.444,1,11740,1.12,2020,44,10/28/2020
10/30/2020,Quarterfinals,Indoor,Hard,ATP500,Erste Bank Open,500,Sonego L.,Djokovic N.,4,0.25,42,1,1253,11740,15,1.03,Player_2,Djokovic N.,0.25,1,11740,1.03,2020,44,10/30/2020
11/04/2020,2nd Round,Indoor,Hard,Masters 1000,BNP Paribas Masters,1000,Nadal R.,Lopez F.,0.941,1.063,64,2,953,9850,6.5,1.11,Player_2,Nadal R.,1.063,2,9850,1.11,2020,45,11/04/2020
11/05/2020,3rd Round,Indoor,Hard,Masters 1000,BNP Paribas Masters,1000,Nadal R.,Thompson J.,1.857,0.538,2,61,9850,994,1.06,10,Player_1,Nadal R.,1.857,2,9850,1.06,2020,45,11/05/2020
11/06/2020,Quarterfinals,Indoor,Hard,Masters 1000,BNP Paribas Masters,1000,Nadal R.,Carreno Busta P.,0.706,1.417,15,2,2400,9850,6,1.12,Player_2,Nadal R.,1.417,2,9850,1.12,2020,45,11/06/2020
11/07/2020,Semifinals,Indoor,Hard,Masters 1000,BNP Paribas Masters,1000,Zverev A.,Nadal R.,1.444,0.692,7,2,5015,9850,2.37,1.57,Player_2,Nadal R.,0.692,2,9850,1.57,2020,45,11/07/2020
11/15/2020,Round Robin,Indoor,Hard,Masters Cup,Masters Cup,1500,Nadal R.,Rublev A.,0.583,1.714,8,2,3919,9850,2.37,1.53,Player_2,Nadal R.,1.714,2,9850,1.53,2020,46,11/15/2020
11/16/2020,Round Robin,Indoor,Hard,Masters Cup,Masters Cup,1500,Djokovic N.,Schwartzman D.,2.4,0.417,1,9,11830,3455,1.12,6,Player_1,Djokovic N.,2.4,1,11830,1.12,2020,47,11/16/2020
11/18/2020,Round Robin,Indoor,Hard,Masters Cup,Masters Cup,1500,Medvedev D.,Djokovic N.,2,0.5,4,1,6970,11830,2.75,1.4,Player_2,Djokovic N.,0.5,1,11830,1.4,2020,47,11/18/2020
11/20/2020,Round Robin,Indoor,Hard,Masters Cup,Masters Cup,1500,Djokovic N.,Zverev A.,1.444,0.692,1,7,11830,5525,1.33,3.25,Player_1,Djokovic N.,1.444,1,11830,1.33,2020,47,11/20/2020
11/21/2020,Semifinals,Indoor,Hard,Masters Cup,Masters Cup,1500,Thiem D.,Djokovic N.,0.9,1.111,1,3,11830,9125,1.57,2.25,Player_1,Djokovic N.,0.9,1,11830,1.57,2020,47,11/21/2020
11/17/2020,Round Robin,Indoor,Hard,Masters Cup,Masters Cup,1500,Thiem D.,Nadal R.,0.857,1.167,2,3,9850,9125,1.5,2.5,Player_1,Nadal R.,0.857,2,9850,1.5,2020,47,11/17/2020
11/19/2020,Round Robin,Indoor,Hard,Masters Cup,Masters Cup,1500,Nadal R.,Tsitsipas S.,0.75,1.333,6,2,5925,9850,2.75,1.4,Player_2,Nadal R.,1.333,2,9850,1.4,2020,47,11/19/2020
11/21/2020,Semifinals,Indoor,Hard,Masters Cup,Masters Cup,1500,Medvedev D.,Nadal R.,1.067,0.938,4,2,6970,9850,1.75,2,Player_2,Nadal R.,0.938,2,9850,2,2020,47,11/21/2020
02/08/2021,1st Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Chardy J.,0.333,3,61,1,1020,12030,26,1.01,Player_2,Djokovic N.,3,1,12030,1.01,2021,6,02/08/2021
02/10/2021,2nd Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Tiafoe F.,0.76,1.316,64,1,1005,12030,0.967,29,Player_2,Djokovic N.,1.316,1,12030,29,2021,6,02/10/2021
02/12/2021,3rd Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Fritz T.,0.923,1.083,31,1,1695,12030,21,1.01,Player_2,Djokovic N.,1.083,1,12030,1.01,2021,6,02/12/2021
02/14/2021,4th Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Raonic M.,0.739,1.353,14,1,2630,12030,2.75,1.44,Player_2,Djokovic N.,1.353,1,12030,1.44,2021,6,02/14/2021
02/09/2021,1st Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Nadal R.,Djere L.,2.25,0.444,2,56,9850,1068,1.01,26,Player_1,Nadal R.,2.25,2,9850,1.01,2021,6,02/09/2021
02/11/2021,2nd Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Nadal R.,Mmoh M.,2.571,0.389,2,177,9850,368,1.01,23,Player_1,Nadal R.,2.571,2,9850,1.01,2021,6,02/11/2021
02/13/2021,3rd Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Nadal R.,Norrie C.,1.667,0.6,2,69,9850,935,1.02,19,Player_1,Nadal R.,1.667,2,9850,1.02,2021,6,02/13/2021
02/16/2021,Quarterfinals,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Zverev A.,0.76,1.316,7,1,5615,12030,2.37,1.57,Player_2,Djokovic N.,1.316,1,12030,1.57,2021,7,02/16/2021
02/18/2021,Semifinals,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Karatsev A.,0.5,2,114,1,642,12030,9,1.07,Player_2,Djokovic N.,2,1,12030,1.07,2021,7,02/18/2021
02/21/2021,The Final,Outdoor,Hard,Grand Slam,Australian Open,1500,Djokovic N.,Medvedev D.,2.111,0.474,1,4,12030,8715,1.83,2,Player_1,Djokovic N.,2.111,1,12030,1.83,2021,7,02/21/2021
02/15/2021,4th Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Nadal R.,Fognini F.,2,0.5,2,17,9850,2535,1.16,5,Player_1,Nadal R.,2,2,9850,1.16,2021,7,02/15/2021
02/17/2021,Quarterfinals,Outdoor,Hard,Grand Slam,Australian Open,1500,Tsitsipas S.,Nadal R.,0.926,1.08,6,2,5965,9850,2.75,1.44,Player_2,Nadal R.,1.08,2,9850,1.44,2021,7,02/17/2021
03/10/2021,2nd Round,Outdoor,Hard,ATP250,Qatar Exxon Mobil Open,250,Federer R.,Evans D.,1,1,28,6,1794,6630,2.62,1.5,Player_2,Federer R.,1,6,6630,1.5,2021,10,03/10/2021
03/11/2021,Quarterfinals,Outdoor,Hard,ATP250,Qatar Exxon Mobil Open,250,Basilashvili N.,Federer R.,1.333,0.75,42,6,1405,6630,5.5,1.14,Player_2,Federer R.,0.75,6,6630,1.14,2021,10,03/11/2021
04/14/2021,2nd Round,Outdoor,Clay,Masters 1000,Monte Carlo Masters,1000,Djokovic N.,Sinner J.,0.5,2,22,1,2369,11963,3.4,1.33,Player_2,Djokovic N.,2,1,11963,1.33,2021,15,04/14/2021
04/15/2021,3rd Round,Outdoor,Clay,Masters 1000,Monte Carlo Masters,1000,Evans D.,Djokovic N.,0.692,1.444,1,33,11963,1825,1.05,11,Player_1,Djokovic N.,0.692,1,11963,1.05,2021,15,04/15/2021
04/14/2021,2nd Round,Outdoor,Clay,Masters 1000,Monte Carlo Masters,1000,Nadal R.,Delbonis F.,4,0.25,3,87,9670,884,1.04,13,Player_1,Nadal R.,4,3,9670,1.04,2021,15,04/14/2021
04/15/2021,3rd Round,Outdoor,Clay,Masters 1000,Monte Carlo Masters,1000,Nadal R.,Dimitrov G.,6,0.167,3,17,9670,2598,1.05,11,Player_1,Nadal R.,6,3,9670,1.05,2021,15,04/15/2021
04/16/2021,Quarterfinals,Outdoor,Clay,Masters 1000,Monte Carlo Masters,1000,Rublev A.,Nadal R.,0.625,1.6,3,8,9670,5400,1.11,6.5,Player_1,Nadal R.,0.625,3,9670,1.11,2021,15,04/16/2021
04/21/2021,2nd Round,Outdoor,Clay,ATP500,Barcelona Open,500,Nadal R.,Ivashka I.,1.25,0.8,3,111,9490,713,1.02,19,Player_1,Nadal R.,1.25,3,9490,1.02,2021,16,04/21/2021
04/22/2021,3rd Round,Outdoor,Clay,ATP500,Barcelona Open,500,Nadal R.,Nishikori K.,0.571,1.75,39,3,1543,9490,8,1.08,Player_2,Nadal R.,1.75,3,9490,1.08,2021,16,04/22/2021
04/23/2021,Quarterfinals,Outdoor,Clay,ATP500,Barcelona Open,500,Nadal R.,Norrie C.,2.4,0.417,3,58,9490,1130,1.05,11,Player_1,Nadal R.,2.4,3,9490,1.05,2021,16,04/23/2021
04/24/2021,Semifinals,Outdoor,Clay,ATP500,Barcelona Open,500,Nadal R.,Carreno Busta P.,0.417,2.4,13,3,2880,9490,5.5,1.14,Player_2,Nadal R.,2.4,3,9490,1.14,2021,16,04/24/2021
04/25/2021,The Final,Outdoor,Clay,ATP500,Barcelona Open,500,Nadal R.,Tsitsipas S.,1.188,0.842,3,5,9490,7860,1.57,2.37,Player_1,Nadal R.,1.188,3,9490,1.57,2021,16,04/25/2021
04/21/2021,2nd Round,Outdoor,Clay,ATP250,Serbia Open,250,Djokovic N.,Kwon S.W.,0.333,3,85,1,910,11873,21,1.01,Player_2,Djokovic N.,3,1,11873,1.01,2021,16,04/21/2021
04/23/2021,Quarterfinals,Outdoor,Clay,ATP250,Serbia Open,250,Djokovic N.,Kecmanovic M.,3,0.333,1,47,11873,1364,1.05,11,Player_1,Djokovic N.,3,1,11873,1.05,2021,16,04/23/2021
04/24/2021,Semifinals,Outdoor,Clay,ATP250,Serbia Open,250,Karatsev A.,Djokovic N.,0.882,1.133,1,28,11873,1946,1.12,6,Player_1,Djokovic N.,0.882,1,11873,1.12,2021,16,04/24/2021
05/05/2021,2nd Round,Outdoor,Clay,Masters 1000,Mutua Madrid Open,1000,Nadal R.,Alcaraz C.,4,0.25,2,120,9810,654,1.08,8,Player_1,Nadal R.,4,2,9810,1.08,2021,18,05/05/2021
05/06/2021,3rd Round,Outdoor,Clay,Masters 1000,Mutua Madrid Open,1000,Nadal R.,Popyrin A.,0.5,2,76,2,949,9810,13,1.04,Player_2,Nadal R.,2,2,9810,1.04,2021,18,05/06/2021
05/07/2021,Quarterfinals,Outdoor,Clay,Masters 1000,Mutua Madrid Open,1000,Zverev A.,Nadal R.,1.5,0.667,6,2,6125,9810,4.33,1.22,Player_2,Nadal R.,0.667,2,9810,1.22,2021,18,05/07/2021
05/11/2021,2nd Round,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Djokovic N.,Fritz T.,0.692,1.444,31,1,1830,11463,6.5,1.11,Player_2,Djokovic N.,1.444,1,11463,1.11,2021,19,05/11/2021
